,time_iter_cmbo
657,6.38534951210022
658,6.902587652206421
659,6.495913505554199
660,6.697694778442383
661,6.805706739425659
662,6.7224812507629395
663,6.8431079387664795
664,6.476266860961914
665,6.987751007080078
666,6.497808933258057
667,7.091838598251343
668,6.836885452270508
669,6.316399335861206
670,6.884397983551025
671,6.685598134994507
672,6.947150945663452
673,6.577770471572876
674,6.7698893547058105
675,6.767879962921143
676,6.587724447250366
677,7.0211639404296875
678,6.595771789550781
679,6.854005336761475
680,6.948884963989258
681,6.600704908370972
682,6.924617528915405
683,6.529487133026123
684,6.9067535400390625
685,6.822953939437866
686,6.728387117385864
687,6.640449285507202
688,6.472576141357422
689,6.999319314956665
690,6.325495958328247
691,6.8938281536102295
692,6.521327972412109
693,6.470555305480957
694,6.908370733261108
695,6.34331750869751
696,6.951498031616211
697,6.632376194000244
698,6.97806978225708
699,6.837864398956299
700,8.63241982460022
701,6.660078048706055
702,6.405658721923828
703,6.751344442367554
704,6.301929712295532
705,6.719341278076172
706,6.590993404388428
707,6.402780294418335
708,6.778764486312866
709,6.424887180328369
710,6.607711553573608
711,6.470655679702759
712,6.417792797088623
713,6.690233945846558
714,6.2849602699279785
715,6.811393976211548
716,6.488154411315918
717,6.407674551010132
718,6.78035044670105
719,6.299396514892578
720,6.750921726226807
721,6.4256110191345215
722,6.605206251144409
723,6.519189357757568
724,6.32868218421936
725,7.046231746673584
726,6.334543228149414
727,6.563456058502197
728,6.561922788619995
729,6.609701633453369
730,6.877365350723267
731,6.284835577011108
732,6.635334491729736
733,6.491260766983032
734,6.470974445343018
735,6.747705698013306
736,6.342303514480591
737,6.8005430698394775
738,6.343752384185791
739,6.5061540603637695
740,6.585572004318237
741,6.338855981826782
742,6.8989667892456055
743,6.422640085220337
744,6.882262945175171
745,6.677217721939087
746,6.515080451965332
747,6.928016901016235
748,6.32955002784729
749,6.730163335800171
750,6.398517608642578
751,6.498785734176636
752,6.6516664028167725
753,6.320678949356079
754,6.6355531215667725
755,6.28937840461731
756,6.63520359992981
757,6.639756202697754
758,6.4314868450164795
759,6.7522876262664795
760,6.346174001693726
761,6.569737434387207
762,6.586560487747192
763,6.287452697753906
764,6.854389429092407
765,6.427099704742432
766,6.6632654666900635
767,6.526973009109497
768,6.338164567947388
769,6.656874179840088
770,6.226805925369263
771,6.776873588562012
772,6.484003782272339
773,6.447077751159668
774,6.938104629516602
775,6.1744160652160645
776,6.705930471420288
777,6.601835250854492
778,6.428199052810669
779,6.818605184555054
780,6.293081283569336
781,6.972783327102661
782,6.304644584655762
783,6.578870058059692
784,6.544866323471069
785,6.146290063858032
786,6.848227500915527
787,6.352779150009155
788,6.541951417922974
789,6.5658087730407715
790,6.366321086883545
791,7.026543378829956
792,6.482611894607544
793,6.755680322647095
794,6.505748510360718
795,6.423197269439697
796,6.862332582473755
797,6.415442943572998
798,6.851093292236328
799,6.369462490081787
800,8.393849611282349
801,6.668733596801758
802,6.453209161758423
803,6.817874193191528
804,6.6648759841918945
805,6.8742711544036865
806,6.254516124725342
807,6.5769102573394775
808,6.853280544281006
809,6.247306823730469
810,7.009232044219971
811,6.374197006225586
812,6.660266876220703
813,6.644714117050171
814,6.424901723861694
815,6.85986852645874
816,6.309921741485596
817,6.7363128662109375
818,6.359236478805542
819,6.522954702377319
820,6.901139974594116
821,6.303683757781982
822,6.794064521789551
823,6.415229082107544
824,6.577938079833984
825,6.555851697921753
826,6.401333570480347
827,7.019192695617676
828,6.330873012542725
829,6.6120383739471436
830,6.72425103187561
831,6.345158576965332
832,6.784477949142456
833,6.30383563041687
834,6.7726380825042725
835,6.545557022094727
836,6.544697046279907
837,7.034160614013672
838,6.383462429046631
839,6.983336448669434
840,5.445258378982544
841,5.132854461669922
842,5.562829256057739
843,4.994227886199951
844,5.205117225646973
845,5.6202874183654785
846,5.01827335357666
847,5.130146741867065
848,5.60617470741272
849,5.031329870223999
850,4.957620143890381
851,5.913132667541504
852,5.177829027175903
853,4.970977544784546
854,5.485771179199219
855,5.06061863899231
856,5.167175769805908
857,5.517552137374878
858,4.996865272521973
859,4.959284543991089
860,5.474066734313965
861,5.157224178314209
862,4.993239402770996
863,5.478569507598877
864,5.123356103897095
865,5.014126777648926
866,5.411548852920532
867,5.10339093208313
868,5.476914644241333
869,5.856414079666138
870,5.332832336425781
871,5.182618856430054
872,5.611979961395264
